gridindex,forest_ha,land_ha,disturbance_ha
270,316.08,6134.4,4.77
271,8270.64,12470.85,66.14999999999999
272,7002.99,12470.67,302.4
273,3824.73,12470.76,142.10999999999999
274,3627.72,12470.67,114.92999999999999
275,4250.34,12470.76,206.64
276,3221.91,12470.67,118.97999999999999
277,3640.14,12470.76,67.23
278,8189.73,12470.85,302.21999999999997
279,4081.77,12470.85,56.25
280,4257.09,12470.85,43.92
281,1935.4499999999998,12470.76,64.17
282,1962.6299999999999,12470.85,33.21
283,2426.22,12470.85,3.42
284,1530.72,12470.76,0.8999999999999999
285,2449.62,12470.67,3.5999999999999996
286,4873.59,12470.85,49.589999999999996
287,4485.96,12470.85,19.62
288,5440.679999999999,12470.85,97.92
289,6519.69,12470.76,145.89
290,5440.679999999999,12470.85,194.4
291,3928.8599999999997,12470.76,134.73
292,4862.16,12470.85,254.88
293,5461.2,12470.85,137.07
294,2467.71,12470.76,21.33
295,5857.469999999999,12470.67,136.62
296,5792.8499999999995,12470.67,118.61999999999999
297,6388.469999999999,12470.85,81.89999999999999
298,3861.45,12470.58,175.41
299,3526.83,12470.76,238.67999999999998
300,2275.92,12470.76,34.47
301,3231,12470.67,39.24
302,2473.02,12470.85,10.62
303,5285.5199999999995,12470.67,49.68
304,2541.96,12470.76,12.059999999999999
305,5188.59,9275.4,53.19
306,1173.69,6134.4,13.5
307,6808.139999999999,12470.85,181.07999999999998
308,4789.08,12470.67,206.37
309,3578.04,12470.76,113.22
310,4049.19,12470.67,146.51999999999998
311,5102.01,12470.76,215.37
312,3599.73,12470.67,157.41
313,2656.17,12470.76,100.08
314,4881.15,12470.85,142.01999999999998
315,3171.6,12470.85,92.25
316,3541.41,12470.85,120.96
317,3225.7799999999997,12470.76,261.9
318,2335.41,12470.85,96.84
319,3989.97,12470.85,94.77
320,1555.2,12470.76,3.15
321,5222.16,12470.67,17.009999999999998
322,4162.68,12470.85,72.63
323,3386.79,12470.85,17.91
324,3141.27,12470.85,44.1
325,8163.36,12470.76,138.78
326,4934.5199999999995,12470.85,238.04999999999998
327,4201.74,12470.76,107.00999999999999
328,5168.97,12470.85,233.82
329,4432.59,12470.85,148.59
330,3704.22,12470.76,86.94
331,3854.43,12470.67,82.08
332,3267.0899999999997,12470.67,99.99
333,4015.7999999999997,12470.85,110.97
334,3069.0899999999997,12470.58,120.69
335,3661.65,12470.76,253.07999999999998
336,4310.55,12470.76,269.64
337,5119.38,12470.67,202.67999999999998
338,3257.19,12470.85,35.1
339,3882.42,12470.67,32.67
340,2758.23,12470.76,18.54
341,4586.94,9275.4,57.419999999999995
342,0,6134.4,NA
