ID,falsto_name,globalid,year
301,Geisenhausen_1,B386CC86-5F89-4AC5-8D2B-A5F8543AB2EC,2021
302,Geisenhausen_2,268C0636-F0E5-4516-8B0A-2BE752C74F05,2015
303,Geisenhausen_2,268C0636-F0E5-4516-8B0A-2BE752C74F05,2016
304,Geisenhausen_2,268C0636-F0E5-4516-8B0A-2BE752C74F05,2017
305,Geisenhausen_2,268C0636-F0E5-4516-8B0A-2BE752C74F05,2018
306,Geisenhausen_2,268C0636-F0E5-4516-8B0A-2BE752C74F05,2019
307,Geisenhausen_2,268C0636-F0E5-4516-8B0A-2BE752C74F05,2020
308,Geisenhausen_2,268C0636-F0E5-4516-8B0A-2BE752C74F05,2021
309,Glashüttener_Forst_1,FDED0EBA-3A1E-4065-A0D9-684CFEAE44ED,2015
310,Glashüttener_Forst_1,C9C7F9FB-CA5C-40DB-B3B7-4E8AC79262C0,2016
311,Glashüttener_Forst_1,C9C7F9FB-CA5C-40DB-B3B7-4E8AC79262C0,2017
312,Glashüttener_Forst_1,C9C7F9FB-CA5C-40DB-B3B7-4E8AC79262C0,2018
313,Glashüttener_Forst_1,C9C7F9FB-CA5C-40DB-B3B7-4E8AC79262C0,2019
314,Glashüttener_Forst_1,C9C7F9FB-CA5C-40DB-B3B7-4E8AC79262C0,2020
315,Glashüttener_Forst_1,C9C7F9FB-CA5C-40DB-B3B7-4E8AC79262C0,2021
316,Glashüttener_Forst_2,0735A046-EF9C-4F44-B83F-DFD5194FAEFD,2015
317,Glashüttener_Forst_2,00D798B0-9DD3-4AA3-BBAF-9B0765C09FF8,2016
318,Glashüttener_Forst_2,00D798B0-9DD3-4AA3-BBAF-9B0765C09FF8,2017
319,Glashüttener_Forst_2,00D798B0-9DD3-4AA3-BBAF-9B0765C09FF8,2018
320,Glashüttener_Forst_2,00D798B0-9DD3-4AA3-BBAF-9B0765C09FF8,2019
321,Glashüttener_Forst_2,00D798B0-9DD3-4AA3-BBAF-9B0765C09FF8,2020
322,Glashüttener_Forst_2,00D798B0-9DD3-4AA3-BBAF-9B0765C09FF8,2021
323,Gramschatzer_Wald_1,BBB68992-B08B-411F-BC03-5C604E6E0838,2015
324,Gramschatzer_Wald_1,BBB68992-B08B-411F-BC03-5C604E6E0838,2016
325,Gramschatzer_Wald_1,BBB68992-B08B-411F-BC03-5C604E6E0838,2017
326,Gramschatzer_Wald_1,BBB68992-B08B-411F-BC03-5C604E6E0838,2018
327,Gramschatzer_Wald_1,BBB68992-B08B-411F-BC03-5C604E6E0838,2019
328,Gramschatzer_Wald_1,BBB68992-B08B-411F-BC03-5C604E6E0838,2020
329,Gramschatzer_Wald_1,BBB68992-B08B-411F-BC03-5C604E6E0838,2021
330,Gramschatzer_Wald_2,C93843BE-AD20-4A88-849C-8D4F749B716E,2015
331,Gramschatzer_Wald_2,C93843BE-AD20-4A88-849C-8D4F749B716E,2016
332,Gramschatzer_Wald_2,C93843BE-AD20-4A88-849C-8D4F749B716E,2017
333,Gramschatzer_Wald_2,C93843BE-AD20-4A88-849C-8D4F749B716E,2018
334,Gramschatzer_Wald_2,C93843BE-AD20-4A88-849C-8D4F749B716E,2019
