"","falsto_name","year","prec","temp","swvl","freq","elev","x","y","sm","vpd","sm_z","vpd_z","spei","spei_z","avg_beetles_trap","sum_ips","peak_doy","peak_diff","agg_doy"
"1084","Markt_Indersdorf_2",2015,55,13.5,1.41300226481382,0.145087235996327,504,4426501.25235508,2805557.63319865,1.33554640104377,0.849650690916445,-1.55405805246509,2.05912673594587,-0.980523223983099,-1.66495967776443,655.277777777778,1531,190,40,222
"1085","Markt_Indersdorf_2",2016,73,16.2,1.48971623907106,0.145087235996327,504,4426501.25235508,2805557.63319865,1.5197246706489,0.573354804589146,0.866484071776573,-0.286930563029098,-1.47612838510044,-2.3846824206752,498.04,12451,180,264.111111111111,144
"1086","Markt_Indersdorf_2",2016,73,16.2,1.48971623907106,0.145087235996327,504,4426501.25235508,2805557.63319865,1.5197246706489,0.573354804589146,0.866484071776573,-0.286930563029098,-1.47612838510044,-2.3846824206752,1602.88,12451,180,264.111111111111,144
"1087","Markt_Indersdorf_2",2017,67,14.3,1.47901048797509,0.145087235996327,504,4426501.25235508,2805557.63319865,1.34220933636958,0.742033161250677,-1.46649117684072,1.14533502400214,-0.445594683638292,-0.888131132536525,1096.75,21935,136,339.090909090909,129
"1088","Markt_Indersdorf_2",2017,67,14.3,1.47901048797509,0.145087235996327,504,4426501.25235508,2805557.63319865,1.34220933636958,0.742033161250677,-1.46649117684072,1.14533502400214,-0.445594683638292,-0.888131132536525,2929.35,21935,136,339.090909090909,129
"1089","Markt_Indersdorf_2",2018,83,16.1,1.32749586233555,0.145087235996327,504,4426501.25235508,2805557.63319865,1.28200362323978,0.873554922302273,-2.25773796758933,2.26210006741514,-1.12298735781125,-1.87184750946908,615.217391304348,14150,176,166.428571428571,120
"1090","Markt_Indersdorf_2",2018,83,16.1,1.32749586233555,0.145087235996327,504,4426501.25235508,2805557.63319865,1.28200362323978,0.873554922302273,-2.25773796758933,2.26210006741514,-1.12298735781125,-1.87184750946908,282.782608695652,14150,176,166.428571428571,120
"1091","Markt_Indersdorf_2",2019,65,14,1.46823704618709,0.145087235996327,504,4426501.25235508,2805557.63319865,1.43013567286102,0.748742885677829,-0.31092922176275,1.20230799662101,-0.981312901176546,-1.66610645483672,1932.8,48320,113,995.555555555556,113
"1092","Markt_Indersdorf_2",2019,65,14,1.46823704618709,0.145087235996327,504,4426501.25235508,2805557.63319865,1.43013567286102,0.748742885677829,-0.31092922176275,1.20230799662101,-0.981312901176546,-1.66610645483672,3455.8,48320,113,995.555555555556,113
"1093","Markt_Indersdorf_2",2020,72,14.8,1.43822499074484,0.145087235996327,504,4426501.25235508,2805557.63319865,1.44769783666736,0.647467580430541,-0.0801204657828841,0.342368776245284,-0.538892294979451,-1.02361885140954,749.8,18745,211,145,113
"1094","Markt_Indersdorf_2",2020,72,14.8,1.43822499074484,0.145087235996327,504,4426501.25235508,2805557.63319865,1.44769783666736,0.647467580430541,-0.0801204657828841,0.342368776245284,-0.538892294979451,-1.02361885140954,1990.72,18745,211,145,113
"1095","Markt_Indersdorf_2",2021,125,15.1,1.50849774054339,0.145087235996327,504,4426501.25235508,2805557.63319865,1.53616278569516,0.547513394981719,1.08252014377312,-0.506352677600465,0.715280522637488,0.797703384913351,761.12,19028,158,306.428571428571,145
"1096","Markt_Indersdorf_2",2021,125,15.1,1.50849774054339,0.145087235996327,504,4426501.25235508,2805557.63319865,1.53616278569516,0.547513394981719,1.08252014377312,-0.506352677600465,0.715280522637488,0.797703384913351,1030.4,19028,158,306.428571428571,145
"1097","Mauther_Forst_1",2015,56,10.3,1.34808045611771,0.771349862258953,1046,4583343.79453804,2877132.64539596,1.37337025369335,0.670156513034143,-1.84658496430763,3.35868444100045,-0.654411982852254,-0.688377315119808,821.052631578947,15600,203,332.698412698413,140
"1098","Mauther_Forst_1",2015,56,10.3,1.34808045611771,0.771349862258953,1046,4583343.79453804,2877132.64539596,1.37337025369335,0.670156513034143,-1.84658496430763,3.35868444100045,-0.654411982852254,-0.688377315119808,3097.36842105263,15600,203,332.698412698413,140
"1099","Mauther_Forst_1",2016,94,13.2,1.49666267536936,0.771349862258953,1046,4583343.79453804,2877132.64539596,1.55812228656681,0.424139066547561,1.38098168251279,-0.166807185866985,-0.258679768764999,-0.167620619691352,1053.14285714286,22116,146,880,146
"1100","Mauther_Forst_1",2016,94,13.2,1.49666267536936,0.771349862258953,1046,4583343.79453804,2877132.64539596,1.55812228656681,0.424139066547561,1.38098168251279,-0.166807185866985,-0.258679768764999,-0.167620619691352,406.095238095238,22116,146,880,146
